product_id,date_order,revenue,profit,qty
10397,2017-01-05 00:00:00,58000,23000,1
10471,2017-01-05 00:00:00,210000,84000,1
10521,2017-01-05 00:00:00,54000,24000,1
10522,2017-01-05 00:00:00,54000,24000,1
10530,2017-01-05 00:00:00,142000,73000,2
10657,2017-01-05 00:00:00,130000,61000,1
10666,2017-01-05 00:00:00,220000,79000,1
10731,2017-01-05 00:00:00,115000,32000,1
10750,2017-01-05 00:00:00,188000,61000,1
10757,2017-01-05 00:00:00,138000,58000,2
10782,2017-01-05 00:00:00,132000,30000,1
10805,2017-01-05 00:00:00,155000,52000,1
10826,2017-01-05 00:00:00,75000,28000,1
10850,2017-01-05 00:00:00,570000,60000,1
11171,2017-01-05 00:00:00,210000,80000,1
11172,2017-01-05 00:00:00,110000,12000,1
11180,2017-01-05 00:00:00,160000,102000,1
11181,2017-01-05 00:00:00,105000,60000,1
11222,2017-01-05 00:00:00,180000,74000,1
11228,2017-01-05 00:00:00,180000,97000,1
11255,2017-01-05 00:00:00,380000,16000,2
11427,2017-01-05 00:00:00,58000,11000,1
11440,2017-01-05 00:00:00,130000,22000,3
11513,2017-01-05 00:00:00,174000,72000,6
11584,2017-01-05 00:00:00,135000,69000,1
11599,2017-01-05 00:00:00,385000,232000,1
11624,2017-01-05 00:00:00,165000,67000,1
11626,2017-01-05 00:00:00,265000,110000,1
11692,2017-01-05 00:00:00,145000,71000,1
11696,2017-01-05 00:00:00,340000,129000,2
11715,2017-01-05 00:00:00,155000,73000,1
11719,2017-01-05 00:00:00,278000,120000,2
11720,2017-01-05 00:00:00,210000,88000,1
11754,2017-01-05 00:00:00,300000,106000,1
11787,2017-01-05 00:00:00,290000,91000,1
11816,2017-01-05 00:00:00,460000,181000,2
11831,2017-01-05 00:00:00,390000,107000,2
11873,2017-01-05 00:00:00,179000,43000,1
13055,2017-01-05 00:00:00,120000,31000,2
13077,2017-01-05 00:00:00,240000,62000,4
13078,2017-01-05 00:00:00,120000,76000,1
13378,2017-01-05 00:00:00,100000,47000,2
13407,2017-01-05 00:00:00,160000,94000,1
13522,2017-01-05 00:00:00,65000,31000,1
13538,2017-01-05 00:00:00,65000,31000,1
13551,2017-01-05 00:00:00,360000,179000,4
13570,2017-01-05 00:00:00,62000,17000,1
13572,2017-01-05 00:00:00,62000,17000,1
13617,2017-01-05 00:00:00,59000,28000,1
13659,2017-01-05 00:00:00,38000,12000,1
13692,2017-01-05 00:00:00,35000,13000,1
13694,2017-01-05 00:00:00,138000,58000,2
13733,2017-01-05 00:00:00,220000,96000,4
13765,2017-01-05 00:00:00,40000,14000,1
13887,2017-01-05 00:00:00,105000,47000,3
13953,2017-01-05 00:00:00,285000,96000,1
14101,2017-01-05 00:00:00,38000,21000,1
14145,2017-01-05 00:00:00,150000,57000,1
14196,2017-01-05 00:00:00,440000,128000,2
14200,2017-01-05 00:00:00,220000,67000,1
14270,2017-01-05 00:00:00,150000,82000,1
14307,2017-01-05 00:00:00,85000,24000,1
14347,2017-01-05 00:00:00,100000,68000,2
14369,2017-01-05 00:00:00,50000,35000,1
14371,2017-01-05 00:00:00,35000,20000,1
14405,2017-01-05 00:00:00,25000,10000,1
14424,2017-01-05 00:00:00,60000,33000,2
14447,2017-01-05 00:00:00,58000,27000,2
14452,2017-01-05 00:00:00,116000,46000,4
14460,2017-01-05 00:00:00,39000,24000,1
14462,2017-01-05 00:00:00,50000,18000,2
14482,2017-01-05 00:00:00,50000,21000,1
14498,2017-01-05 00:00:00,195000,87000,1
14499,2017-01-05 00:00:00,195000,81000,1
14529,2017-01-05 00:00:00,29000,14000,1
14610,2017-01-05 00:00:00,120000,40000,3
14616,2017-01-05 00:00:00,60000,23000,2
14636,2017-01-05 00:00:00,65000,22000,1
14685,2017-01-05 00:00:00,56000,22000,2
14710,2017-01-05 00:00:00,45000,28000,1
14787,2017-01-05 00:00:00,95000,27000,1
14795,2017-01-05 00:00:00,95000,24000,1
14800,2017-01-05 00:00:00,115000,33000,1
14882,2017-01-05 00:00:00,32000,14000,1
15031,2017-01-05 00:00:00,170000,52000,1
15233,2017-01-05 00:00:00,300000,184000,1
15343,2017-01-05 00:00:00,624000,280000,1
15365,2017-01-05 00:00:00,306000,58000,1
15456,2017-01-05 00:00:00,290000,42000,1
15647,2017-01-05 00:00:00,95000,28000,1
16127,2017-01-05 00:00:00,80000,50000,2
16167,2017-01-05 00:00:00,50000,33000,1
16168,2017-01-05 00:00:00,50000,33000,1
16238,2017-01-05 00:00:00,234000,103000,1
16282,2017-01-05 00:00:00,90000,64000,2
